feature,VIF
const,1683.504
Luxury Renovation,202.194
Simple Renovation,175.495
Slab Building,152.436
Reinforced Concrete,138.823
Slab-Tower Combo,118.641
Unfinished,99.334
Brick-Concrete,69.413
Tower Building,64.088
Mixed Structure,59.524
Viewing Available,55.881
Frame Structure,43.868
Viewing with Tenant,41.644
Viewing After Work,13.339
Detached House,9.78
Viewing Weekends Only,7.775
Has Elevator,7.714
No Elevator,7.443
Steel Structure,6.403
Flat,5.372
Staircase,3.888
Binjiang,2.964
Gongshu,2.928
Qiantang,2.921
Rooms,2.907
Xihu,2.853
Shangcheng,2.803
Floor Area,2.733
Last Transaction Duration,2.722
Xiaoshan,2.715
Linping,2.649
Yuhang,2.625
Residential,2.436
Bathrooms,2.417
Units per Floor,2.388
Over 5 Years,2.324
Linan,2.213
Elevators,2.154
Building Height,2.092
Brick-Wood,2.085
Staggered Floor,1.761
Living Rooms,1.534
Duplex,1.469
Under 2 Years,1.423
High Floor,1.36
Low Floor,1.307
Purchased Public Housing,1.268
Mortgage Info,1.085
Popularity,1.051
Shared Ownership,1.03
Kitchens,1.027
Relocation Property,1.025
Private Property,1.004
Loft,1.003
